//================= Hercules Script =======================================
//=       _   _                     _
//=      | | | |                   | |
//=      | |_| | ___ _ __ ___ _   _| | ___  ___
//=      |  _  |/ _ \ '__/ __| | | | |/ _ \/ __|
//=      | | | |  __/ | | (__| |_| | |  __/\__ \
//=      \_| |_/\___|_|  \___|\__,_|_|\___||___/
//================= License ===============================================
//= This file is part of Hercules.
//= http://herc.ws - http://github.com/HerculesWS/Hercules
//=
//= Copyright (C) 2012-2015  Hercules Dev Team
//= Copyright (C)  rAthena Dev Team
//= Copyright (C)  eAthena Dev Team
//=
//= Hercules is free software: you can redistribute it and/or modify
//= it under the terms of the GNU General Public License as published by
//= the Free Software Foundation, either version 3 of the License, or
//= (at your option) any later version.
//=
//= This program is distributed in the hope that it will be useful,
//= but WITHOUT ANY WARRANTY; without even the implied warranty of
//= MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
//= GNU General Public License for more details.
//=
//= You should have received a copy of the GNU General Public License
//= along with this program.  If not, see <http://www.gnu.org/licenses/>.
//=========================================================================
//= Mapflag: Disable warpto.
//================= Current Version =======================================
//= 1.3
//================= Description ===========================================
//= Disables use of @warp to a map.
//=========================================================================

// Guild Castles ========================
//alde_gld	mapflag	nowarpto
//pay_gld	mapflag	nowarpto
//prt_gld	mapflag	nowarpto
//Novice Guild
n_castle	mapflag	nowarpto
//Lighthalzen Bio-Lab 3F
lhz_dun03	mapflag	nowarpto
// Special Quests Places =======
ama_test	mapflag	nowarpto
gon_test	mapflag	nowarpto
que_rachel	mapflag	nowarpto
que_san04	mapflag	nowarpto
cave	mapflag	nowarpto

//Monster Races ================
p_track01	mapflag	nowarpto
p_track02	mapflag	nowarpto

//Vision of Okolnir ============
que_qsch01	mapflag	nowarpto
que_qsch02	mapflag	nowarpto
que_qsch03	mapflag	nowarpto
que_qsch04	mapflag	nowarpto
que_qsch05	mapflag	nowarpto
que_qaru01	mapflag	nowarpto
que_qaru02	mapflag	nowarpto
que_qaru03	mapflag	nowarpto
que_qaru04	mapflag	nowarpto
que_qaru05	mapflag	nowarpto

//Endless Tower ==================
e_tower	mapflag	nowarpto

// Battle Grounds ==============
bat_c01	mapflag	nowarpto
bat_c02	mapflag	nowarpto
bat_c03	mapflag	nowarpto
bat_room	mapflag	nowarpto
bat_b01	mapflag	nowarpto
bat_b02	mapflag	nowarpto
bat_a01	mapflag	nowarpto
bat_a02	mapflag	nowarpto

// Episode 13 ====================
mid_campin	mapflag	nowarpto
man_fild01	mapflag	nowarpto
man_fild03	mapflag	nowarpto
spl_fild02	mapflag	nowarpto
spl_fild03	mapflag	nowarpto
moc_fild22b	mapflag	nowarpto
que_dan01	mapflag	nowarpto
que_dan02	mapflag	nowarpto
schg_que01	mapflag	nowarpto
schg_dun01	mapflag	nowarpto
arug_que01	mapflag	nowarpto
arug_dun01	mapflag	nowarpto
nyd_dun01	mapflag	nowarpto
nyd_dun02	mapflag	nowarpto
manuk	mapflag	nowarpto
man_fild02	mapflag	nowarpto
man_in01	mapflag	nowarpto
splendide	mapflag	nowarpto
spl_fild01	mapflag	nowarpto
spl_in01	mapflag	nowarpto

// Poring War ====================
poring_w01	mapflag	nowarpto
poring_w02	mapflag	nowarpto

// Bossnia (custom) ==============
bossnia_01	mapflag	nowarpto
bossnia_02	mapflag	nowarpto
bossnia_03	mapflag	nowarpto
bossnia_04	mapflag	nowarpto
